date,total_cases,total_deaths,new_cases,new_deaths
2019-12-31,27,0,27.0,0.0
2020-01-01,27,0,0.0,0.0
2020-01-02,27,0,0.0,0.0
2020-01-03,44,0,17.0,0.0
2020-01-04,44,0,0.0,0.0
2020-01-05,59,0,15.0,0.0
2020-01-06,59,0,0.0,0.0
2020-01-07,59,0,0.0,0.0
2020-01-08,59,0,0.0,0.0
2020-01-09,59,0,0.0,0.0
2020-01-10,59,0,0.0,0.0
2020-01-11,59,1,0.0,1.0
2020-01-12,59,1,0.0,0.0
2020-01-13,60,1,1.0,0.0
2020-01-14,60,1,0.0,0.0
2020-01-15,61,2,1.0,1.0
2020-01-16,61,2,0.0,0.0
2020-01-17,66,2,5.0,0.0
2020-01-18,83,2,17.0,0.0
2020-01-19,219,3,136.0,1.0
2020-01-20,239,3,20.0,0.0
2020-01-21,392,6,153.0,3.0
2020-01-22,534,17,142.0,11.0
2020-01-23,631,17,97.0,0.0
2020-01-24,897,26,266.0,9.0
2020-01-25,1350,41,453.0,15.0
2020-01-26,2023,56,673.0,15.0
2020-01-27,2820,81,797.0,25.0
2020-01-28,4587,106,1767.0,25.0
2020-01-29,6067,132,1480.0,26.0
2020-01-30,7823,170,1756.0,38.0
2020-01-31,9826,213,2003.0,43.0
2020-02-01,11946,259,2120.0,46.0
2020-02-02,14554,305,2608.0,46.0
2020-02-03,17372,362,2818.0,57.0
2020-02-04,20615,427,3243.0,65.0
2020-02-05,24522,493,3907.0,66.0
2020-02-06,28273,565,3751.0,72.0
2020-02-07,31491,638,3218.0,73.0
2020-02-08,34933,724,3442.0,86.0
2020-02-09,37552,813,2619.0,89.0
2020-02-10,40540,910,2988.0,97.0
2020-02-11,43105,1018,2565.0,108.0
2020-02-12,45177,1115,2072.0,97.0
2020-02-13,60328,1370,15151.0,255.0
2020-02-14,64543,1383,4215.0,13.0
2020-02-15,67103,1527,2560.0,144.0
2020-02-16,69265,1669,2162.0,142.0
2020-02-17,71332,1775,2067.0,106.0
2020-02-18,73327,1873,1995.0,98.0
2020-02-19,75191,2012,1864.0,139.0
2020-02-20,75723,2128,532.0,116.0
2020-02-21,76719,2247,996.0,119.0
2020-02-22,77804,2359,1085.0,112.0
2020-02-23,78812,2463,1008.0,104.0
2020-02-24,79339,2619,527.0,156.0
2020-02-25,80132,2698,793.0,79.0
2020-02-26,80995,2762,863.0,64.0
2020-02-27,82101,2800,1106.0,38.0
2020-02-28,83365,2857,1264.0,57.0
2020-02-29,85203,2921,1838.0,64.0
2020-03-01,87024,2979,1821.0,58.0
2020-03-02,89068,3046,2044.0,67.0
2020-03-03,90663,3118,1595.0,72.0
2020-03-04,93076,3202,2413.0,84.0
2020-03-05,95315,3282,2239.0,80.0
2020-03-06,98171,3385,2856.0,103.0
2020-03-07,102132,3488,3961.0,103.0
2020-03-08,105823,3585,3691.0,97.0
2020-03-09,109694,3814,3871.0,229.0
2020-03-10,114231,4023,4537.0,209.0
2020-03-11,118609,4292,4378.0,269.0
2020-03-12,125496,4618,6887.0,326.0
2020-03-13,133848,4969,8352.0,351.0
2020-03-14,143223,5407,9375.0,438.0
2020-03-15,151363,5761,8140.0,354.0
2020-03-16,167414,6507,16051.0,746.0
2020-03-17,180159,7103,12745.0,596.0
2020-03-18,194909,7873,14750.0,770.0
2020-03-19,213254,8843,18345.0,970.0
2020-03-20,242473,9884,29219.0,1041.0
2020-03-21,271228,11251,28755.0,1367.0
2020-03-22,305275,12941,34047.0,1690.0
2020-03-23,338303,14601,33028.0,1660.0
2020-03-24,378040,16365,39737.0,1764.0
2020-03-25,416916,18565,38876.0,2200.0
